Date,Close,High,Low,Open,Volume,Log_Return,Simple_Return,Log_Return_pct
2023-10-06,19653.5,19675.75,19589.400390625,19621.19921875,159100,0.005497568008546022,0.0055127073660514725,0.5497568008546022
2023-10-09,19512.349609375,19588.94921875,19480.5,19539.44921875,165100,-0.007207861089913015,-0.00718194675884698,-0.7207861089913015
2023-10-10,19689.849609375,19717.80078125,19565.44921875,19565.599609375,216600,0.0090556762901256,0.00909680297624016,0.9055676290125599
2023-10-11,19811.349609375,19839.19921875,19756.94921875,19767.0,213700,0.00615173136873013,0.006170692128707245,0.615173136873013
2023-10-12,19794.0,19843.30078125,19772.650390625,19822.69921875,217900,-0.0008761245971014768,-0.0008757409120068171,-0.08761245971014768
2023-10-13,19751.05078125,19805.400390625,19635.30078125,19654.55078125,255000,-0.002172167428733089,-0.0021698099802970328,-0.2172167428733089
2023-10-16,19731.75,19781.30078125,19691.849609375,19737.25,181000,-0.0009776805295215437,-0.0009772027556287366,-0.09776805295215436
2023-10-17,19811.5,19849.75,19775.650390625,19843.19921875,185800,0.004033563661320618,0.004041709427698992,0.40335636613206177
2023-10-18,19671.099609375,19840.94921875,19659.94921875,19820.44921875,198900,-0.007112043473065063,-0.007086812741337156,-0.7112043473065063
2023-10-19,19624.69921875,19681.80078125,19512.349609375,19545.19921875,230300,-0.002361596586600212,-0.0023588102112444,-0.2361596586600212
2023-10-20,19542.650390625,19593.80078125,19518.69921875,19542.150390625,198300,-0.004189660467809165,-0.004180896084593599,-0.41896604678091653
2023-10-23,19281.75,19556.849609375,19257.849609375,19521.599609375,176000,-0.01344022395196905,-0.013350307425555652,-1.344022395196905
2023-10-25,19122.150390625,19347.30078125,19074.150390625,19286.44921875,225300,-0.008311683270009834,-0.008277236732921023,-0.8311683270009834
2023-10-26,18857.25,19041.69921875,18837.849609375,19027.25,300400,-0.013949914095014037,-0.013853064912347501,-1.3949914095014038
2023-10-27,19047.25,19076.150390625,18926.650390625,18928.75,205200,0.010025278863763394,0.010075700327460302,1.0025278863763394
2023-10-30,19140.900390625,19158.5,18940.0,19053.400390625,180100,0.004904693073893485,0.004916740769664862,0.4904693073893485
2023-10-31,19079.599609375,19233.69921875,19056.44921875,19232.94921875,206000,-0.003207746304394414,-0.0032026069828995363,-0.3207746304394414
2023-11-01,18989.150390625,19096.05078125,18973.69921875,19064.05078125,194100,-0.004751896973195711,-0.004740624572936891,-0.4751896973195711
